nm, %T
1100.000000, 93.414617
1098.000000, 93.416316
1096.000000, 93.416000
1094.000000, 93.415511
1092.000000, 93.416280
1090.000000, 93.416668
1088.000000, 93.415601
1086.000000, 93.412487
1084.000000, 93.410457
1082.000000, 93.413006
1080.000000, 93.410576
1078.000000, 93.412028
1076.000000, 93.406799
1074.000000, 93.409591
1072.000000, 93.408302
1070.000000, 93.407470
1068.000000, 93.406437
1066.000000, 93.402247
1064.000000, 93.405566
1062.000000, 93.405687
1060.000000, 93.404860
1058.000000, 93.403874
1056.000000, 93.403969
1054.000000, 93.401086
1052.000000, 93.402190
1050.000000, 93.398125
1048.000000, 93.399354
1046.000000, 93.399788
1044.000000, 93.399638
1042.000000, 93.399480
1040.000000, 93.396278
1038.000000, 93.397083
1036.000000, 93.396535
1034.000000, 93.394341
1032.000000, 93.393740
1030.000000, 93.392050
1028.000000, 93.393851
1026.000000, 93.393329
1024.000000, 93.390445
1022.000000, 93.390886
1020.000000, 93.389999
1018.000000, 93.390333
1016.000000, 93.390707
1014.000000, 93.390696
1012.000000, 93.391760
1010.000000, 93.385132
1008.000000, 93.386010
1006.000000, 93.385740
1004.000000, 93.386074
1002.000000, 93.384192
1000.000000, 93.382581
998.000000, 93.380931
996.000000, 93.380335
994.000000, 93.381580
992.000000, 93.380905
990.000000, 93.378351
988.000000, 93.374967
986.000000, 93.375885
984.000000, 93.374852
982.000000, 93.376561
980.000000, 93.374677
978.000000, 93.372195
976.000000, 93.370976
974.000000, 93.370049
972.000000, 93.369964
970.000000, 93.368206
968.000000, 93.366488
966.000000, 93.365673
964.000000, 93.364692
962.000000, 93.362428
960.000000, 93.361700
958.000000, 93.360818
956.000000, 93.355962
954.000000, 93.353976
952.000000, 93.352960
950.000000, 93.352377
948.000000, 93.351648
946.000000, 93.349189
944.000000, 93.347183
942.000000, 93.348401
940.000000, 93.345935
938.000000, 93.347951
936.000000, 93.347620
934.000000, 93.349178
932.000000, 93.349312
930.000000, 93.349360
928.000000, 93.348504
