wavelength(eV);psi;tan(psi);delta;cos(delta)
1.530257564;5.554414238;0.097247649;2.087007423;0.999336678
1.528778277;5.573703856;0.097587511;2.117261841;0.999317309
1.527301848;5.582291643;0.097738826;1.37219472;0.999713229
1.525828267;5.575651705;0.097621832;2.340673584;0.999165654
1.524357527;5.573983914;0.097592446;1.772444397;0.999521551
1.52288962;5.571805635;0.097554066;1.97020989;0.999408837
1.521424537;5.577315146;0.097651141;1.787084239;0.999513616
1.519962271;5.586393614;0.097811104;1.748011503;0.99953465
1.518502812;5.58480761;0.097783158;2.093733231;0.999332396
1.517046154;5.586968772;0.097821238;1.622906517;0.999598872
1.515592287;5.585818622;0.097800972;1.870924418;0.999466912
1.514141205;5.586224521;0.097808124;1.71235169;0.999553442
1.512692898;5.565298835;0.097439421;2.055459095;0.999356578
1.51124736;5.566721874;0.097464494;1.84253961;0.999482964
1.509804581;5.574782793;0.097606522;1.825360075;0.99949256
1.508364555;5.470638329;0.095771865;1.740059158;0.999538874
1.506927273;5.318974095;0.093101216;1.812704987;0.999499571
1.505492728;5.33332171;0.093353805;1.542208241;0.99963777
1.504060911;5.49870746;0.09626628;1.515411432;0.999650248
1.502631815;5.586625655;0.097815192;1.99322946;0.999394944
1.501205433;5.583099486;0.09775306;1.815286;0.999498145
1.499781755;5.583497984;0.097760082;2.069586632;0.999347704
1.498360776;5.577797532;0.09765964;2.027708923;0.999373832
1.496942486;5.580738627;0.097711462;1.840420865;0.999484152
1.49552688;5.584918133;0.097785105;2.00314431;0.99938891
1.494113947;5.582830077;0.097748313;1.683755475;0.999568231
1.492703683;5.580496383;0.097707194;1.90757684;0.999445823
1.491296078;5.583695194;0.097763557;1.756779382;0.99952997
1.489891125;5.581825552;0.097730614;1.575119893;0.999622145
1.488488817;5.585408441;0.097793745;1.954784173;0.999418057
1.487089146;5.599783516;0.098047043;1.728792907;0.999544826
1.485692105;5.59017896;0.097877803;2.007796321;0.999386069
1.484297686;5.595174826;0.097965833;1.663756923;0.999578426
1.482905883;5.584262231;0.097773548;2.050068324;0.999359948
1.481516687;5.59164411;0.09790362;1.955459845;0.999417655
1.480130091;5.586508231;0.097813123;2.116084369;0.999318068
1.478746089;5.558175506;0.097313917;1.803421767;0.999504683
1.477364672;5.578537572;0.09767268;1.652087271;0.999584319
1.475985834;5.567262905;0.097474026;1.999268934;0.999391272
1.474609568;5.611541703;0.098254239;1.369560439;0.999714329
1.473235865;5.575578521;0.097620542;1.526920642;0.999644915
1.47186472;5.584927827;0.097785276;1.542509532;0.999637628
