nm, %T
602.000000, 92.070836
600.000000, 92.056316
598.000000, 92.029631
596.000000, 92.030855
594.000000, 92.033832
592.000000, 92.036045
590.000000, 92.046611
588.000000, 92.031552
586.000000, 92.022842
584.000000, 92.038482
582.000000, 92.049272
580.000000, 92.048733
578.000000, 92.035996
576.000000, 92.033402
574.000000, 92.041118
572.000000, 92.040477
570.000000, 92.029270
568.000000, 92.018621
566.000000, 92.018418
564.000000, 92.026614
562.000000, 92.022361
560.000000, 92.020245
558.000000, 92.033151
556.000000, 92.029672
554.000000, 92.015905
552.000000, 92.018885
550.000000, 92.014241
548.000000, 91.988587
546.000000, 91.978261
544.000000, 91.983484
542.000000, 91.996900
540.000000, 91.996211
538.000000, 91.983891
536.000000, 91.954302
534.000000, 91.946063
532.000000, 91.950011
530.000000, 91.940921
528.000000, 91.941149
526.000000, 91.933879
524.000000, 91.916614
522.000000, 91.910746
520.000000, 91.889906
518.000000, 91.860622
516.000000, 91.838397
514.000000, 91.833786
512.000000, 91.835117
510.000000, 91.814941
508.000000, 91.799028
506.000000, 91.793582
504.000000, 91.792170
502.000000, 91.792280
500.000000, 91.790513
498.000000, 91.784250
496.000000, 91.795523
494.000000, 91.798660
492.000000, 91.795566
490.000000, 91.786562
488.000000, 91.787881
486.000000, 91.796762
484.000000, 91.787632
482.000000, 91.781236
480.000000, 91.787147
478.000000, 91.763769
476.000000, 91.743142
474.000000, 91.723701
472.000000, 91.710145
470.000000, 91.712118
468.000000, 91.709797
466.000000, 91.698661
464.000000, 91.692327
462.000000, 91.686982
460.000000, 91.668702
458.000000, 91.658301
456.000000, 91.662001
454.000000, 91.673258
452.000000, 91.675943
450.000000, 91.670176
448.000000, 91.671137
446.000000, 91.668725
444.000000, 91.666165
442.000000, 91.656489
440.000000, 91.642149
438.000000, 91.631126
436.000000, 91.635398
434.000000, 91.637812
432.000000, 91.636458
430.000000, 91.640266
428.000000, 91.615974
426.000000, 91.588377
424.000000, 91.587583
422.000000, 91.587545
420.000000, 91.585321
418.000000, 91.569523
416.000000, 91.562582
414.000000, 91.563585
412.000000, 91.554598
410.000000, 91.540527
408.000000, 91.525935
406.000000, 91.515434
404.000000, 91.498758
402.000000, 91.493661
400.000000, 91.487820
398.000000, 91.465214
396.000000, 91.451790
394.000000, 91.459050
392.000000, 91.456994
390.000000, 91.431955
388.000000, 91.399436
386.000000, 91.381522
384.000000, 91.354364
382.000000, 91.324532
380.000000, 91.279598
378.000000, 91.207778
376.000000, 91.187609
374.000000, 91.165845
372.000000, 91.131442
370.000000, 91.119264
368.000000, 91.074864
366.000000, 91.029115
364.000000, 90.988200
362.000000, 90.930254
360.000000, 90.869305
358.000000, 90.788970
356.000000, 90.715042
354.000000, 90.643831
352.000000, 90.558244
350.000000, 90.430169
348.000000, 90.269362
346.000000, 90.099177
344.000000, 89.902747
342.000000, 89.659809
340.000000, 89.377786
338.000000, 89.026664
336.000000, 88.624193
334.000000, 88.123510
332.000000, 87.531296
330.000000, 86.807373
328.000000, 85.933700
326.000000, 84.867644
324.000000, 83.591246
322.000000, 82.044496
320.000000, 80.180046
318.000000, 78.061191
316.000000, 75.480554
314.000000, 72.336349
312.000000, 68.645128
310.000000, 64.391629
308.000000, 59.529159
306.000000, 54.082776
304.000000, 48.074421
