nm, %R
530.000000, 3.529439
528.000000, 3.530902
526.000000, 3.531897
524.000000, 3.533330
522.000000, 3.534778
520.000000, 3.536196
518.000000, 3.537693
516.000000, 3.539332
514.000000, 3.540797
512.000000, 3.542657
510.000000, 3.544574
508.000000, 3.545916
506.000000, 3.547596
504.000000, 3.549470
502.000000, 3.550992
500.000000, 3.552318
498.000000, 3.553754
496.000000, 3.555156
494.000000, 3.555431
492.000000, 3.556417
490.000000, 3.557859
488.000000, 3.559321
486.000000, 3.560218
484.000000, 3.561214
482.000000, 3.563032
480.000000, 3.564628
478.000000, 3.566426
476.000000, 3.568740
474.000000, 3.571277
472.000000, 3.573277
470.000000, 3.575299
468.000000, 3.577526
466.000000, 3.579662
464.000000, 3.581206
462.000000, 3.582569
460.000000, 3.584674
458.000000, 3.587016
456.000000, 3.589498
454.000000, 3.591474
452.000000, 3.593373
450.000000, 3.595572
448.000000, 3.597033
446.000000, 3.598741
444.000000, 3.601101
442.000000, 3.602809
440.000000, 3.603483
438.000000, 3.605567
436.000000, 3.610203
434.000000, 3.613233
432.000000, 3.614804
430.000000, 3.615567
428.000000, 3.617964
426.000000, 3.620541
424.000000, 3.622987
422.000000, 3.625670
420.000000, 3.628071
418.000000, 3.631201
416.000000, 3.634226
414.000000, 3.635620
412.000000, 3.637879
410.000000, 3.641823
408.000000, 3.646157
406.000000, 3.648234
404.000000, 3.650645
402.000000, 3.655322
400.000000, 3.659162
398.000000, 3.660827
396.000000, 3.662331
394.000000, 3.664831
392.000000, 3.666313
390.000000, 3.670705
388.000000, 3.676116
386.000000, 3.680665
384.000000, 3.681544
382.000000, 3.684201
380.000000, 3.683189
378.000000, 3.688874
376.000000, 3.689295
374.000000, 3.691780
372.000000, 3.702455
370.000000, 3.711045
368.000000, 3.715142
366.000000, 3.715175
364.000000, 3.719651
362.000000, 3.726380
360.000000, 3.726348
358.000000, 3.726537
356.000000, 3.735457
354.000000, 3.739700
352.000000, 3.751032
350.000000, 3.753096
348.000000, 3.755048
346.000000, 3.764879
344.000000, 3.770657
342.000000, 3.773709
340.000000, 3.779735
338.000000, 3.786150
336.000000, 3.797758
334.000000, 3.800702
332.000000, 3.803214
330.000000, 3.804482
328.000000, 3.809931
326.000000, 3.814530
324.000000, 3.824995
322.000000, 3.833321
320.000000, 3.835843
318.000000, 3.842288
316.000000, 3.853114
314.000000, 3.865270
312.000000, 3.869148
310.000000, 3.877851
308.000000, 3.888562
306.000000, 3.893543
304.000000, 3.899687
302.000000, 3.914210
300.000000, 3.928747
298.000000, 3.936510
296.000000, 3.944371
294.000000, 3.956125
292.000000, 3.976513
290.000000, 3.997884
288.000000, 4.001623
286.000000, 4.004223
284.000000, 4.012540
282.000000, 4.020432
280.000000, 4.029456
278.000000, 4.039971
