nm, %T
602.000000, 67.279802
600.000000, 67.413536
598.000000, 67.658271
596.000000, 67.988960
594.000000, 68.423184
592.000000, 68.949136
590.000000, 69.554592
588.000000, 70.259987
586.000000, 71.083133
584.000000, 72.000042
582.000000, 72.983277
580.000000, 74.046324
578.000000, 75.191792
576.000000, 76.404484
574.000000, 77.670493
572.000000, 78.994651
570.000000, 80.316757
568.000000, 81.642732
566.000000, 82.928812
564.000000, 84.161052
562.000000, 85.333959
560.000000, 86.406444
558.000000, 87.316561
556.000000, 88.038708
554.000000, 88.558287
552.000000, 88.857469
550.000000, 88.904115
548.000000, 88.696725
546.000000, 88.241707
544.000000, 87.523155
542.000000, 86.588876
540.000000, 85.441590
538.000000, 84.100664
536.000000, 82.600130
534.000000, 81.001313
532.000000, 79.332619
530.000000, 77.619565
528.000000, 75.920326
526.000000, 74.250449
524.000000, 72.648990
522.000000, 71.153325
520.000000, 69.756559
518.000000, 68.500324
516.000000, 67.410910
514.000000, 66.492787
512.000000, 65.743639
510.000000, 65.179828
508.000000, 64.822968
506.000000, 64.680712
504.000000, 64.758413
502.000000, 65.050270
500.000000, 65.571591
498.000000, 66.339282
496.000000, 67.346055
494.000000, 68.580334
492.000000, 70.030156
490.000000, 71.695553
488.000000, 73.555695
486.000000, 75.552038
484.000000, 77.632407
482.000000, 79.742362
480.000000, 81.739107
478.000000, 83.524939
476.000000, 85.051501
474.000000, 86.190219
472.000000, 86.837613
470.000000, 86.936529
468.000000, 86.435071
466.000000, 85.326070
464.000000, 83.699864
462.000000, 81.640072
460.000000, 79.243415
458.000000, 76.669920
456.000000, 74.044629
454.000000, 71.482207
452.000000, 69.083471
450.000000, 66.941458
448.000000, 65.122936
446.000000, 63.665617
444.000000, 62.623230
442.000000, 62.011946
440.000000, 61.837230
438.000000, 62.138880
436.000000, 62.943080
434.000000, 64.237347
432.000000, 66.026892
430.000000, 68.281202
428.000000, 70.906833
426.000000, 73.820150
424.000000, 76.840006
422.000000, 79.666027
420.000000, 81.972166
418.000000, 83.408645
416.000000, 83.703890
414.000000, 82.721211
412.000000, 80.522782
410.000000, 77.347365
408.000000, 73.622859
406.000000, 69.765265
404.000000, 66.077958
402.000000, 62.873266
400.000000, 60.323440
398.000000, 58.545909
396.000000, 57.624257
394.000000, 57.624587
392.000000, 58.550039
390.000000, 60.397227
388.000000, 63.109757
386.000000, 66.433308
384.000000, 69.992999
382.000000, 73.080361
380.000000, 74.774032
378.000000, 74.339927
376.000000, 71.646855
374.000000, 67.281934
372.000000, 62.135170
370.000000, 57.153286
368.000000, 53.011333
366.000000, 50.087081
364.000000, 48.543445
362.000000, 48.357170
360.000000, 49.325815
358.000000, 50.917430
356.000000, 52.129450
354.000000, 51.662871
352.000000, 48.683570
350.000000, 43.494907
348.000000, 37.469933
346.000000, 31.923192
344.000000, 27.513995
342.000000, 24.171751
340.000000, 21.457148
338.000000, 18.838744
336.000000, 15.940745
334.000000, 12.772837
332.000000, 9.697783
330.000000, 7.081340
328.000000, 5.043943
