wl,n
2.025,2.229543
2.03,2.229499
2.035,2.229455
2.04,2.229412
2.045,2.229369
2.05,2.229326
2.055,2.229283
2.06,2.229241
2.065,2.229199
2.07,2.229158
2.075,2.229117
2.08,2.229076
2.085,2.229035
2.09,2.228995
2.095,2.228955
2.1,2.228915
2.105,2.228876
2.11,2.228836
2.115,2.228798
2.12,2.228759
2.125,2.228721
2.13,2.228683
2.135,2.228645
2.14,2.228607
2.145,2.22857
2.15,2.228533
2.155,2.228496
2.16,2.22846
2.165,2.228424
2.17,2.228388
2.175,2.228352
2.18,2.228316
2.185,2.228281
2.19,2.228246
2.195,2.228211
2.2,2.228177
2.205,2.228143
2.21,2.228109
2.215,2.228075
2.22,2.228041
2.225,2.228008
2.23,2.227975
2.235,2.227942
2.24,2.227909
2.245,2.227877
2.25,2.227845
2.255,2.227813
2.26,2.227781
2.265,2.227749
2.27,2.227718
2.275,2.227687
2.28,2.227656
2.285,2.227625
2.29,2.227595
2.295,2.227564
2.3,2.227534
2.305,2.227504
2.31,2.227474
2.315,2.227445
2.32,2.227415
2.325,2.227386
2.33,2.227357
2.335,2.227328
2.34,2.2273
2.345,2.227271
2.35,2.227243
2.355,2.227215
2.36,2.227187
2.365,2.22716
2.37,2.227132
2.375,2.227105
2.38,2.227078
2.385,2.227051
2.39,2.227024
2.395,2.226997
2.4,2.226971
2.405,2.226944
2.41,2.226918
2.415,2.226892
2.42,2.226866
2.425,2.226841
2.43,2.226815
2.435,2.22679
2.44,2.226765
2.445,2.22674
2.45,2.226715
2.455,2.22669
2.46,2.226665
2.465,2.226641
2.47,2.226617
2.475,2.226593
2.48,2.226569
2.485,2.226545
2.49,2.226521
2.495,2.226497
2.5,2.226474
