wavelength (eV);psi;tan(Psi);delta;cos(Delta)
1.611334421;9.937793252;0.175207726;178.780509;-0.999773501
1.609694313;9.879267003;0.174155081;178.9632123;-0.999836283
1.60805754;9.922628228;0.174934934;178.8042633;-0.999782239
1.606424093;9.914182629;0.174783023;179.1084022;-0.999878925
1.604793961;9.922581282;0.174934089;179.0673258;-0.999867512
1.603167133;9.913965637;0.17477912;178.7622103;-0.999766653
1.601543601;9.930427372;0.175075224;178.7709045;-0.99976992
1.599923354;9.917037242;0.174834368;178.9009962;-0.999816046
1.598306382;9.904244143;0.17460427;178.8253028;-0.999789835
1.596692675;9.898236093;0.174496215;178.8957394;-0.999814282
1.595082223;9.895684313;0.174450323;178.9329733;-0.999826595
1.593475016;9.943601452;0.175312212;178.9552454;-0.999833758
1.591871045;9.883505386;0.174231299;179.0002047;-0.999847758
1.5902703;9.920217259;0.174891567;178.86523;-0.999803878
1.588672771;9.91809939;0.174853473;178.6756667;-0.999732884
1.587078449;9.958330233;0.17557719;179.2788616;-0.999920794
1.585487323;9.91247488;0.174752307;178.8480965;-0.999797911
1.583899385;9.890052722;0.174349043;178.9047413;-0.999817297
1.582314624;9.926371425;0.175002265;179.0270384;-0.99985582
1.580733031;9.929398532;0.175056717;179.0838381;-0.999872162
1.579154596;9.919747923;0.174883125;179.0810199;-0.999871374
1.577579311;9.88028159;0.174173326;179.0252825;-0.999855299
1.576007166;9.938018389;0.175211776;179.1756019;-0.999896488
1.57443815;9.930438123;0.175075417;178.7657643;-0.999767991
1.572872256;9.900850665;0.174543238;179.1402782;-0.999887427
1.571309474;9.920107061;0.174889585;178.9058441;-0.999817665
1.569749794;9.917554193;0.174843667;179.0610678;-0.999865729
1.568193207;9.94897568;0.175408894;178.9610303;-0.999835594
1.566639704;9.893359967;0.174408521;178.8057232;-0.99978277
1.565089276;9.917355328;0.17484009;178.8857678;-0.999810913
1.563541914;9.917088069;0.174835282;179.0475876;-0.999861846
1.561997609;9.906104621;0.174637732;179.0030277;-0.999848616
1.560456351;9.919452565;0.174877812;178.8885726;-0.999811863
1.558918131;9.88750089;0.174303152;179.1784647;-0.999897206
1.557382942;9.897460475;0.174482266;178.8156582;-0.999786369
1.555850772;9.916319345;0.174821456;178.880409;-0.99980909
1.554321615;9.894492599;0.17442889;179.2496247;-0.999914242
1.552795461;9.880726541;0.174181328;178.9971435;-0.999846824
