nm, %R
596.000000, 4.250299
594.000000, 4.250038
592.000000, 4.250971
590.000000, 4.252396
588.000000, 4.253466
586.000000, 4.253983
584.000000, 4.254592
582.000000, 4.255114
580.000000, 4.256348
578.000000, 4.257465
576.000000, 4.258054
574.000000, 4.259048
572.000000, 4.260056
570.000000, 4.260527
568.000000, 4.261288
566.000000, 4.262327
564.000000, 4.263242
562.000000, 4.264119
560.000000, 4.265057
558.000000, 4.266050
556.000000, 4.266859
554.000000, 4.268204
552.000000, 4.269347
550.000000, 4.269894
548.000000, 4.270627
546.000000, 4.271280
544.000000, 4.272231
542.000000, 4.273502
540.000000, 4.274230
538.000000, 4.275183
536.000000, 4.276558
534.000000, 4.277500
532.000000, 4.278460
530.000000, 4.279732
528.000000, 4.280896
526.000000, 4.282111
524.000000, 4.283133
522.000000, 4.284278
520.000000, 4.285726
518.000000, 4.287355
516.000000, 4.288982
514.000000, 4.290633
512.000000, 4.292226
510.000000, 4.294184
508.000000, 4.296065
506.000000, 4.297713
504.000000, 4.299090
502.000000, 4.300849
500.000000, 4.302308
498.000000, 4.302910
496.000000, 4.303599
494.000000, 4.304439
492.000000, 4.305498
490.000000, 4.306514
488.000000, 4.307046
486.000000, 4.307306
484.000000, 4.308003
482.000000, 4.309389
480.000000, 4.310930
478.000000, 4.312922
476.000000, 4.314746
474.000000, 4.317198
472.000000, 4.319110
470.000000, 4.320922
468.000000, 4.323233
466.000000, 4.325115
464.000000, 4.327030
462.000000, 4.328769
460.000000, 4.330659
458.000000, 4.332221
456.000000, 4.333634
454.000000, 4.335500
452.000000, 4.337444
450.000000, 4.338645
448.000000, 4.339534
446.000000, 4.340870
444.000000, 4.342926
442.000000, 4.345345
440.000000, 4.347415
438.000000, 4.348922
436.000000, 4.351322
434.000000, 4.353751
432.000000, 4.355557
430.000000, 4.357416
428.000000, 4.361364
426.000000, 4.363569
424.000000, 4.364358
422.000000, 4.367563
420.000000, 4.371263
418.000000, 4.373362
416.000000, 4.375250
414.000000, 4.378296
412.000000, 4.379562
410.000000, 4.381672
408.000000, 4.385595
406.000000, 4.388137
404.000000, 4.390288
402.000000, 4.392047
400.000000, 4.393934
398.000000, 4.397759
396.000000, 4.401266
394.000000, 4.404035
392.000000, 4.406356
390.000000, 4.407927
388.000000, 4.412569
386.000000, 4.416712
384.000000, 4.418739
382.000000, 4.422751
380.000000, 4.419654
378.000000, 4.424478
376.000000, 4.428676
374.000000, 4.432792
372.000000, 4.435072
370.000000, 4.440775
368.000000, 4.449281
366.000000, 4.450267
364.000000, 4.449174
362.000000, 4.452349
360.000000, 4.460953
358.000000, 4.467707
356.000000, 4.472060
354.000000, 4.474683
352.000000, 4.477735
350.000000, 4.482766
348.000000, 4.484313
346.000000, 4.492725
344.000000, 4.503302
342.000000, 4.506876
340.000000, 4.510507
338.000000, 4.509713
336.000000, 4.513551
334.000000, 4.519361
332.000000, 4.531545
330.000000, 4.532240
328.000000, 4.532692
326.000000, 4.541920
324.000000, 4.546863
322.000000, 4.549861
320.000000, 4.557192
318.000000, 4.565258
316.000000, 4.575647
314.000000, 4.573282
312.000000, 4.581560
310.000000, 4.586941
308.000000, 4.593104
306.000000, 4.601197
304.000000, 4.610758
302.000000, 4.622966
300.000000, 4.636539
298.000000, 4.644241
296.000000, 4.645021
294.000000, 4.660730
292.000000, 4.677915
290.000000, 4.686297
288.000000, 4.689206
286.000000, 4.698114
284.000000, 4.709465
282.000000, 4.725541
280.000000, 4.735713
278.000000, 4.740819
276.000000, 4.752541
274.000000, 4.758792
272.000000, 4.768619
270.000000, 4.781349
268.000000, 4.791092
266.000000, 4.809063
264.000000, 4.820994
262.000000, 4.835289
260.000000, 4.848045
258.000000, 4.863897
256.000000, 4.879080
254.000000, 4.897547
252.000000, 4.914026
250.000000, 4.929458
