nm, %R
1100.000000, 4.283625
1098.000000, 4.286341
1096.000000, 4.287887
1094.000000, 4.285182
1092.000000, 4.285711
1090.000000, 4.288367
1088.000000, 4.289844
1086.000000, 4.287074
1084.000000, 4.291371
1082.000000, 4.288968
1080.000000, 4.291174
1078.000000, 4.290520
1076.000000, 4.291242
1074.000000, 4.287779
1072.000000, 4.288214
1070.000000, 4.287592
1068.000000, 4.290946
1066.000000, 4.294001
1064.000000, 4.290322
1062.000000, 4.289972
1060.000000, 4.290383
1058.000000, 4.292977
1056.000000, 4.293484
1054.000000, 4.290645
1052.000000, 4.289190
1050.000000, 4.294793
1048.000000, 4.294480
1046.000000, 4.295283
1044.000000, 4.291072
1042.000000, 4.294097
1040.000000, 4.290709
1038.000000, 4.293021
1036.000000, 4.293065
1034.000000, 4.291197
1032.000000, 4.294057
1030.000000, 4.298096
1028.000000, 4.293285
1026.000000, 4.293515
1024.000000, 4.297112
1022.000000, 4.301038
1020.000000, 4.296985
1018.000000, 4.295033
1016.000000, 4.297904
1014.000000, 4.300393
1012.000000, 4.299713
1010.000000, 4.300042
1008.000000, 4.296758
1006.000000, 4.304697
1004.000000, 4.299307
1002.000000, 4.299390
1000.000000, 4.297221
998.000000, 4.296764
996.000000, 4.298528
994.000000, 4.302423
992.000000, 4.297726
990.000000, 4.300297
988.000000, 4.301049
986.000000, 4.306864
984.000000, 4.305685
982.000000, 4.305289
980.000000, 4.301845
978.000000, 4.302614
976.000000, 4.304773
974.000000, 4.304188
972.000000, 4.302797
970.000000, 4.304244
968.000000, 4.301905
966.000000, 4.301841
964.000000, 4.299832
962.000000, 4.293706
960.000000, 4.302575
958.000000, 4.301613
956.000000, 4.298400
954.000000, 4.295377
952.000000, 4.295807
950.000000, 4.295859
948.000000, 4.300714
946.000000, 4.302030
944.000000, 4.293553
942.000000, 4.297767
940.000000, 4.301585
938.000000, 4.302706
936.000000, 4.297062
934.000000, 4.305718
932.000000, 4.304807
930.000000, 4.299273
928.000000, 4.292463
926.000000, 4.291347
924.000000, 4.298653
922.000000, 4.296867
920.000000, 4.294973
918.000000, 4.283383
916.000000, 4.275141
914.000000, 4.283179
912.000000, 4.294642
910.000000, 4.285635
908.000000, 4.269297
906.000000, 4.277447
904.000000, 4.281992
902.000000, 4.271832
900.000000, 4.280683
898.000000, 4.274371
896.000000, 4.252256
894.000000, 4.247616
892.000000, 4.255536
890.000000, 4.241975
888.000000, 4.184266
886.000000, 4.185029
884.000000, 4.186253
882.000000, 4.184217
880.000000, 4.185544
878.000000, 4.187749
876.000000, 4.187815
874.000000, 4.187319
872.000000, 4.188891
870.000000, 4.188970
868.000000, 4.190788
866.000000, 4.191143
864.000000, 4.191451
862.000000, 4.189559
860.000000, 4.190724
858.000000, 4.191397
856.000000, 4.189803
854.000000, 4.190497
852.000000, 4.192338
850.000000, 4.193002
848.000000, 4.193529
846.000000, 4.193818
844.000000, 4.193274
842.000000, 4.193223
840.000000, 4.195631
838.000000, 4.193133
836.000000, 4.192667
834.000000, 4.194719
832.000000, 4.194626
830.000000, 4.192008
828.000000, 4.195271
826.000000, 4.196727
824.000000, 4.196263
822.000000, 4.197530
820.000000, 4.196451
818.000000, 4.195167
816.000000, 4.197458
814.000000, 4.195910
812.000000, 4.201763
810.000000, 4.197352
808.000000, 4.198539
806.000000, 4.199699
804.000000, 4.197585
802.000000, 4.198701
800.000000, 4.199491
798.000000, 4.200746
796.000000, 4.199965
794.000000, 4.199518
792.000000, 4.199322
790.000000, 4.202361
788.000000, 4.201583
786.000000, 4.200689
784.000000, 4.202034
782.000000, 4.201487
780.000000, 4.201755
778.000000, 4.201343
776.000000, 4.202559
774.000000, 4.202961
772.000000, 4.203074
770.000000, 4.205351
768.000000, 4.202892
766.000000, 4.205589
764.000000, 4.205301
762.000000, 4.205910
760.000000, 4.206223
758.000000, 4.204885
756.000000, 4.207399
754.000000, 4.207595
752.000000, 4.207818
750.000000, 4.207819
748.000000, 4.207628
746.000000, 4.208397
744.000000, 4.209363
742.000000, 4.208799
740.000000, 4.209674
738.000000, 4.209472
736.000000, 4.210259
734.000000, 4.211164
732.000000, 4.212278
730.000000, 4.211782
728.000000, 4.211551
726.000000, 4.213010
724.000000, 4.214830
722.000000, 4.214229
720.000000, 4.212939
718.000000, 4.214179
716.000000, 4.215526
714.000000, 4.215804
712.000000, 4.216841
710.000000, 4.216032
708.000000, 4.216289
706.000000, 4.217173
704.000000, 4.218407
702.000000, 4.218400
700.000000, 4.217865
698.000000, 4.219403
696.000000, 4.220731
694.000000, 4.220841
692.000000, 4.221635
690.000000, 4.221813
688.000000, 4.221603
686.000000, 4.222830
684.000000, 4.223197
682.000000, 4.222777
680.000000, 4.223987
678.000000, 4.224398
676.000000, 4.225157
674.000000, 4.225944
672.000000, 4.225704
670.000000, 4.226492
668.000000, 4.227273
666.000000, 4.227671
664.000000, 4.227809
662.000000, 4.228712
660.000000, 4.229333
658.000000, 4.229888
656.000000, 4.229350
654.000000, 4.229418
652.000000, 4.230348
650.000000, 4.232362
648.000000, 4.233394
646.000000, 4.233321
644.000000, 4.232610
642.000000, 4.233828
640.000000, 4.234643
638.000000, 4.235021
636.000000, 4.236534
634.000000, 4.237177
632.000000, 4.236879
630.000000, 4.237941
628.000000, 4.239209
626.000000, 4.239594
624.000000, 4.239652
622.000000, 4.240175
620.000000, 4.240909
618.000000, 4.241101
616.000000, 4.242437
614.000000, 4.243767
612.000000, 4.243984
610.000000, 4.244254
608.000000, 4.245280
606.000000, 4.245927
604.000000, 4.246623
602.000000, 4.247934
600.000000, 4.248480
598.000000, 4.249167
