wl (nm);T;Lower Envelope
578;75.19179;66.62069
576;76.40448;66.57024
574;77.67049;66.5194
572;78.99465;66.46819
570;80.31676;66.41663
568;81.64273;66.36472
566;82.92881;66.31249
564;84.16105;66.25996
562;85.33396;66.20714
560;86.40644;66.15404
558;87.31656;66.1007
556;88.03871;66.04711
554;88.55829;65.99331
552;88.85747;65.9393
550;88.90412;65.88511
548;88.69673;65.83075
546;88.24171;65.77624
544;87.52316;65.7216
542;86.58888;65.66684
540;85.44159;65.61198
538;84.10066;65.55703
536;82.60013;65.50203
534;81.00131;65.44697
532;79.33262;65.39188
530;77.61956;65.33678
528;75.92033;65.28168
526;74.25045;65.2266
524;72.64899;65.17156
522;71.15332;65.11658
520;69.75656;65.06166
518;68.50032;65.00684
516;67.41091;64.95212
514;66.49279;64.89752
512;65.74364;64.84307
510;65.17983;64.78877
508;64.82297;64.73464
506;64.68071;64.68071
504;64.75841;64.62695
502;65.05027;64.57321
500;65.57159;64.51927
498;66.33928;64.46496
496;67.34606;64.41006
494;68.58033;64.35439
492;70.03016;64.29774
490;71.69555;64.23992
488;73.5557;64.18074
486;75.55204;64.11999
484;77.63241;64.05747
482;79.74236;63.993
480;81.73911;63.92637
478;83.52494;63.85739
476;85.0515;63.78585
474;86.19022;63.71157
472;86.83761;63.63434
470;86.93653;63.55397
468;86.43507;63.47025
466;85.32607;63.38301
464;83.69986;63.29202
462;81.64007;63.19711
460;79.24341;63.09807
458;76.66992;62.9947
456;74.04463;62.88681
454;71.48221;62.7742
452;69.08347;62.65668
450;66.94146;62.53404
448;65.12294;62.40609
446;63.66562;62.27263
444;62.62323;62.13346
442;62.01195;61.9884
440;61.83723;61.83723
438;62.13888;61.67987
436;62.94308;61.5166
434;64.23735;61.34784
432;66.02689;61.17397
430;68.2812;60.99539
428;70.90683;60.8125
426;73.82015;60.6257
424;76.84001;60.43538
422;79.66603;60.24194
420;81.97217;60.04579
418;83.40865;59.8473
416;83.70389;59.6469
414;82.72121;59.44496
412;80.52278;59.24189
410;77.34736;59.03809
408;73.62286;58.83395
406;69.76526;58.62986
404;66.07796;58.42624
402;62.87327;58.22347
400;60.32344;58.02195
398;58.54591;57.82208
396;57.62426;57.62426
394;57.62459;57.42753
392;58.55004;57.22559
390;60.39723;57.01075
388;63.10976;56.77537
386;66.43331;56.51176
384;69.993;56.21227
382;73.08036;55.86923
380;74.77403;55.47498
